,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
0,4.0,60.0,,2.0,,0,1,10.8298295,106.7617899
1,6.3,64.0,4.0,3.0,3.0,0,1,10.8352833,106.67406562042235
2,6.7,56.0,3.0,7.0,,0,0,10.7220335,106.62949387003158
3,8.5,107.0,4.0,,,1,1,10.8311346,106.7715507
4,4.18,35.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
5,8.55,,4.0,,,1,1,10.7726536,106.66821544343898
6,5.1,100.0,6.0,,,0,1,10.7705525,106.5995228258806
7,5.3,57.0,,2.0,2.0,0,1,10.8030656,106.65227606400094
8,7.9,60.0,3.0,5.0,3.0,0,1,10.8352833,106.67406562042235
9,6.1,93.0,4.0,,,0,1,10.8298295,106.7617899
10,4.7,40.0,4.0,4.0,3.0,1,1,10.79159445,106.6278536218016
11,8.0,43.0,6.0,4.0,3.0,1,0,10.8121855,106.70404172557386
12,1.65,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
13,5.8,36.0,4.0,,,0,1,10.8030656,106.65227606400094
14,8.8,7.0,4.0,4.0,,1,1,10.8298295,106.7617899
15,3.2,24.0,5.0,2.0,3.0,0,1,10.8030656,106.65227606400094
16,4.5,85.0,3.0,,,1,1,10.8298295,106.7617899
17,4.0,34.0,,5.0,3.0,0,0,10.77875265,106.6870307478091
20,1.75,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
21,4.3,85.0,3.0,3.0,2.0,1,1,10.7377548,106.72971280655216
22,3.15,34.0,,,,0,0,10.7705525,106.5995228258806
23,4.5,49.0,3.0,3.0,2.0,0,1,10.8352833,106.67406562042235
24,4.7,12.0,,5.0,4.0,1,1,10.86141075,106.66420925636412
25,5.9,43.0,3.0,4.0,,0,1,10.8010732,106.6798916250364
26,5.6,48.0,5.0,,,0,1,10.7377548,106.72971280655216
27,2.7,30.0,,2.0,2.0,0,1,10.86141075,106.66420925636412
28,5.8,54.0,5.0,4.0,,0,1,10.8352833,106.67406562042235
29,3.65,45.0,,2.0,1.0,0,1,10.7607295,106.70710890359896
30,3.95,31.0,5.0,2.0,2.0,1,1,10.8352833,106.67406562042235
31,4.8,30.0,,,,0,1,10.7763897,106.7011391
32,3.5,52.0,,2.0,2.0,0,1,10.79159445,106.6278536218016
33,4.8,87.0,3.0,3.0,3.0,0,1,10.7705525,106.5995228258806
34,4.15,56.0,2.0,2.0,2.0,0,1,10.8298295,106.7617899
35,4.2,51.0,1.0,,,0,0,10.7705525,106.5995228258806
