Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
4.0,60.0,,2.0,,0,1,10.8298295,106.7617899
6.3,64.0,4.0,3.0,3.0,0,1,10.8352833,106.67406562042235
6.7,56.0,3.0,7.0,,0,0,10.7220335,106.62949387003158
8.5,107.0,4.0,,,1,1,10.8311346,106.7715507
4.18,35.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
8.55,,4.0,,,1,1,10.7726536,106.66821544343898
5.1,100.0,6.0,,,0,1,10.7705525,106.59952282588061
5.3,57.0,,2.0,2.0,0,1,10.8030656,106.65227606400094
7.9,60.0,3.0,5.0,3.0,0,1,10.8352833,106.67406562042235
6.1,93.0,4.0,,,0,1,10.8298295,106.7617899
4.7,40.0,4.0,4.0,3.0,1,1,10.79159445,106.62785362180159
8.0,43.0,6.0,4.0,3.0,1,0,10.8121855,106.70404172557386
1.65,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
5.8,36.0,4.0,,,0,1,10.8030656,106.65227606400094
8.8,7.0,4.0,4.0,,1,1,10.8298295,106.7617899
3.2,24.0,5.0,2.0,3.0,0,1,10.8030656,106.65227606400094
4.5,85.0,3.0,,,1,1,10.8298295,106.7617899
4.0,34.0,,5.0,3.0,0,0,10.778752650000001,106.6870307478091
4.9,60.0,4.0,8.0,3.0,1,1,10.861410750000001,106.66420925636413
16.3,130.0,5.0,7.0,8.0,1,1,10.8298295,106.7617899
1.75,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
4.3,85.0,3.0,3.0,2.0,1,1,10.737754800000001,106.72971280655217
3.15,34.0,,,,0,0,10.7705525,106.59952282588061
4.5,49.0,3.0,3.0,2.0,0,1,10.8352833,106.67406562042235
4.7,12.0,,5.0,4.0,1,1,10.861410750000001,106.66420925636413
5.9,43.0,3.0,4.0,,0,1,10.8010732,106.6798916250364
5.6,48.0,5.0,,,0,1,10.737754800000001,106.72971280655217
2.7,30.0,,2.0,2.0,0,1,10.861410750000001,106.66420925636413
5.8,54.0,5.0,4.0,,0,1,10.8352833,106.67406562042235
3.65,45.0,,2.0,1.0,0,1,10.7607295,106.70710890359896
3.95,31.0,5.0,2.0,2.0,1,1,10.8352833,106.67406562042235
4.8,30.0,,,,0,1,10.7763897,106.7011391
3.5,52.0,,2.0,2.0,0,1,10.79159445,106.62785362180159
4.8,87.0,3.0,3.0,3.0,0,1,10.7705525,106.59952282588061
4.15,56.0,2.0,2.0,2.0,0,1,10.8298295,106.7617899
4.2,51.0,1.0,,,0,0,10.7705525,106.59952282588061
4.45,44.0,3.0,2.0,2.0,0,0,10.8352833,106.67406562042235
28.0,67.0,3.0,5.0,3.0,0,0,10.8121855,106.70404172557386
9.0,50.0,6.0,6.0,5.0,0,1,10.7726536,106.66821544343898
4.5,34.0,2.0,2.0,3.0,0,0,10.7705525,106.59952282588061
4.7,30.0,,2.0,2.0,1,1,10.8010732,106.6798916250364
9.6,75.0,4.0,3.0,,0,1,10.737754800000001,106.72971280655217
7.5,60.0,3.0,3.0,,0,0,10.79159445,106.62785362180159
2.15,48.0,2.0,2.0,2.0,1,1,10.7705525,106.59952282588061
8.8,47.0,5.0,4.0,6.0,0,1,10.8352833,106.67406562042235
12.8,100.0,5.0,,,1,0,10.7763897,106.7011391
10.95,90.0,4.0,5.0,4.0,1,1,10.7733621,106.7597722
11.3,93.0,5.0,5.0,5.0,1,1,10.8352833,106.67406562042235
3.7,33.0,3.0,4.0,2.0,0,0,10.8352833,106.67406562042235
17.0,128.0,7.0,6.0,8.0,1,1,10.7500035,106.51488582967849
6.2,38.0,3.0,3.0,3.0,0,0,10.8010732,106.6798916250364
5.5,51.0,4.0,3.0,3.0,0,1,10.79159445,106.62785362180159
23.0,200.0,3.0,4.0,4.0,1,0,10.8311346,106.7715507
3.2,,2.0,,,0,1,10.8352833,106.67406562042235
6.2,62.0,5.0,5.0,3.0,1,0,10.8121855,106.70404172557386
4.99,70.0,5.0,,3.0,0,0,10.7705525,106.59952282588061
9.5,88.0,3.0,4.0,4.0,0,0,10.8352833,106.67406562042235
4.1,74.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
8.5,175.0,,2.0,2.0,1,1,10.745868250000001,106.63910717557408
4.0,54.0,3.0,2.0,2.0,0,1,10.75575695,106.66747459440559
4.49,41.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
17.0,90.0,4.0,,,1,1,10.8311346,106.7715507
9.99,75.0,6.0,6.0,6.0,1,1,10.8121855,106.70404172557386
1.95,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
8.0,85.0,4.0,5.0,6.0,0,0,10.8352833,106.67406562042235
19.0,134.0,3.0,3.0,4.0,1,1,10.8311346,106.7715507
6.7,52.0,,,2.0,0,1,10.8121855,106.70404172557386
1.75,42.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
0.65,84.0,2.0,,1.0,0,1,10.8352833,106.67406562042235
0.43,20.0,,,1.0,1,0,10.861410750000001,106.66420925636413
5.3,28.0,3.0,3.0,3.0,0,1,10.7726536,106.66821544343898
7.2,96.0,,4.0,5.0,0,0,10.7705525,106.59952282588061
5.8,61.0,4.0,2.0,3.0,1,1,10.8030656,106.65227606400094
7.2,75.0,2.0,4.0,4.0,0,0,10.8352833,106.67406562042235
3.0,60.0,3.0,4.0,3.0,0,0,10.77526035,106.69957286491969
10.8,67.0,5.0,3.0,4.0,1,1,10.8352833,106.67406562042235
5.8,56.0,6.0,6.0,6.0,1,1,10.79159445,106.62785362180159
7.8,60.0,5.0,4.0,6.0,0,1,10.8352833,106.67406562042235
5.5,65.0,2.0,2.0,3.0,0,1,10.8030656,106.65227606400094
5.0,222.0,4.0,5.0,6.0,1,1,10.8352833,106.67406562042235
15.0,100.0,5.0,5.0,6.0,1,1,10.737754800000001,106.72971280655217
5.0,120.0,2.0,4.0,3.0,1,1,10.8298295,106.7617899
5.0,55.0,3.0,3.0,3.0,0,1,10.8298295,106.7617899
18.4,84.0,5.0,8.0,8.0,1,1,10.8010732,106.6798916250364
13.8,85.0,5.0,5.0,6.0,1,1,10.8298295,106.7617899
25.0,52.0,,,3.0,1,0,10.8121855,106.70404172557386
5.0,30.0,,,,0,1,10.7726536,106.66821544343898
11.5,111.0,,1.0,1.0,0,1,10.8352833,106.67406562042235
8.9,46.0,,4.0,2.0,0,0,10.7607295,106.70710890359896
8.6,54.0,4.0,4.0,5.0,0,0,10.8010732,106.6798916250364
6.0,73.0,,1.0,1.0,0,1,10.8030656,106.65227606400094
6.4,54.0,2.0,,,0,1,10.8030656,106.65227606400094
2.25,48.0,2.0,2.0,2.0,1,1,10.7705525,106.59952282588061
75.0,35.0,2.0,2.0,1.0,0,1,10.778752650000001,106.6870307478091
2.1,85.0,3.0,4.0,3.0,1,1,10.7500035,106.51488582967849
6.0,100.0,2.0,2.0,,1,1,10.7763897,106.7011391
10.0,82.0,2.0,2.0,2.0,1,1,10.8311346,106.7715507
1.05,45.0,3.0,4.0,4.0,0,0,10.7763897,106.7011391
5.3,60.0,3.0,4.0,3.0,0,1,10.7705525,106.59952282588061
7.0,52.0,6.0,7.0,7.0,0,0,10.8352833,106.67406562042235
12.0,103.0,5.0,5.0,6.0,1,1,10.8352833,106.67406562042235
6.1,48.0,2.0,2.0,2.0,0,0,10.8010732,106.6798916250364
2.85,24.0,2.0,2.0,2.0,0,0,10.8352833,106.67406562042235
6.0,60.0,4.0,,,1,1,10.79159445,106.62785362180159
8.8,75.0,3.0,4.0,5.0,0,0,10.8352833,106.67406562042235
2.7,30.0,3.0,2.0,2.0,0,1,10.79159445,106.62785362180159
7.3,44.0,6.0,5.0,5.0,0,0,10.7763897,106.7011391
21.5,190.0,4.0,8.0,6.0,1,0,10.8352833,106.67406562042235
5.6,50.0,4.0,3.0,2.0,0,1,10.8030656,106.65227606400094
9.0,52.0,3.0,3.0,3.0,0,1,10.7659529,106.6475594370616
22.0,200.0,3.0,4.0,4.0,1,0,10.8311346,106.7715507
1.55,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
1.7,36.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
4.0,54.0,3.0,3.0,2.0,0,0,10.7705525,106.59952282588061
7.7,104.0,4.0,11.0,,0,0,10.7705525,106.59952282588061
5.65,38.0,5.0,3.0,4.0,1,1,10.7726536,106.66821544343898
4.8,42.0,2.0,2.0,3.0,0,1,10.8352833,106.67406562042235
16.7,100.0,8.0,2.0,,0,1,10.7726536,106.66821544343898
7.0999999999999,5.0,3.0,2.0,3.0,1,1,10.79159445,106.62785362180159
8.0,40.0,5.0,3.0,3.0,0,1,10.7763897,106.7011391
6.3,46.0,3.0,3.0,3.0,1,1,10.778752650000001,106.6870307478091
3.8,33.0,,2.0,2.0,0,0,10.8030656,106.65227606400094
5.2,60.0,3.0,4.0,3.0,0,1,10.861410750000001,106.66420925636413
5.8,32.0,5.0,,,0,0,10.8030656,106.65227606400094
2.35,60.0,,2.0,2.0,0,1,10.7607295,106.70710890359896
3.5,49.0,3.0,2.0,2.0,1,1,10.7763897,106.7011391
