,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
0,4.0,60.0,2.961337276803402,2.0,2.0,0.0,1.0,10.8298295,106.7617899
1,6.3,64.0,4.0,3.0,3.0,0.0,1.0,10.8352833,106.67406562042235
2,6.7,56.0,3.0,7.0,3.660732121899915,0.0,0.0,10.7220335,106.62949387003158
3,8.5,107.0,4.0,5.592244227559039,6.1548532225042045,1.0,1.0,10.8311346,106.7715507
4,4.18,35.0,3.0,2.0,2.0,0.0,1.0,10.8352833,106.67406562042235
5,8.55,125.06999575291543,4.0,3.663570897993481,3.571509949870832,1.0,1.0,10.7726536,106.66821544343898
6,5.1,100.0,6.0,2.692953237189825,2.013827575351538,0.0,1.0,10.7705525,106.5995228258806
7,5.3,57.0,2.140647306765083,2.0,2.0,0.0,1.0,10.8030656,106.65227606400094
8,7.9,60.0,3.0,5.0,3.0,0.0,1.0,10.8352833,106.67406562042235
9,6.1,93.0,4.0,4.679739076640699,4.666636154629373,0.0,1.0,10.8298295,106.7617899
10,4.7,40.0,4.0,4.0,3.0,1.0,1.0,10.79159445,106.6278536218016
11,8.0,43.0,6.0,4.0,3.0,1.0,0.0,10.8121855,106.70404172557386
12,1.65,48.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
13,5.8,36.0,4.0,3.4337774423588896,3.4725945377397314,0.0,1.0,10.8030656,106.65227606400094
14,8.8,7.0,4.0,4.0,4.663002642318158,1.0,1.0,10.8298295,106.7617899
15,3.2,24.0,5.0,2.0,3.0,0.0,1.0,10.8030656,106.65227606400094
16,4.5,85.0,3.0,3.0726525630774235,2.7979480960976013,1.0,1.0,10.8298295,106.7617899
17,4.0,34.0,2.313919697009818,5.0,3.0,0.0,0.0,10.77875265,106.6870307478091
20,1.75,48.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
21,4.3,85.0,3.0,3.0,2.0,1.0,1.0,10.7377548,106.72971280655216
22,3.15,34.0,3.1735684068503303,2.5464813653345226,2.09580203014404,0.0,0.0,10.7705525,106.5995228258806
23,4.5,49.0,3.0,3.0,2.0,0.0,1.0,10.8352833,106.67406562042235
24,4.7,12.0,3.0172694236068556,5.0,4.0,1.0,1.0,10.86141075,106.66420925636412
25,5.9,43.0,3.0,4.0,3.2343510283822816,0.0,1.0,10.8010732,106.6798916250364
26,5.6,48.0,5.0,4.045314061855048,4.184874228559872,0.0,1.0,10.7377548,106.72971280655216
27,2.7,30.0,2.412628657823031,2.0,2.0,0.0,1.0,10.86141075,106.66420925636412
28,5.8,54.0,5.0,4.0,3.2407184459735645,0.0,1.0,10.8352833,106.67406562042235
29,3.65,45.0,2.0954907766314097,2.0,1.0,0.0,1.0,10.7607295,106.70710890359896
30,3.95,31.0,5.0,2.0,2.0,1.0,1.0,10.8352833,106.67406562042235
31,4.8,30.0,4.495111627610486,3.073914760353349,2.7841555251787793,0.0,1.0,10.7763897,106.7011391
32,3.5,52.0,2.5755847497773723,2.0,2.0,0.0,1.0,10.79159445,106.6278536218016
33,4.8,87.0,3.0,3.0,3.0,0.0,1.0,10.7705525,106.5995228258806
34,4.15,56.0,2.0,2.0,2.0,0.0,1.0,10.8298295,106.7617899
35,4.2,51.0,1.0,2.0,1.7904441804599969,0.0,0.0,10.7705525,106.5995228258806
36,4.45,44.0,3.0,2.0,2.0,0.0,0.0,10.8352833,106.67406562042235
38,9.0,50.0,6.0,6.0,5.0,0.0,1.0,10.7726536,106.66821544343898
39,4.5,34.0,2.0,2.0,3.0,0.0,0.0,10.7705525,106.5995228258806
40,4.7,30.0,2.202749270754756,2.0,2.0,1.0,1.0,10.8010732,106.6798916250364
41,9.6,75.0,4.0,3.0,4.564097408385521,0.0,1.0,10.7377548,106.72971280655216
42,7.5,60.0,3.0,3.0,3.268015196614794,0.0,0.0,10.79159445,106.6278536218016
43,2.15,48.0,2.0,2.0,2.0,1.0,1.0,10.7705525,106.5995228258806
44,8.8,47.0,5.0,4.0,6.0,0.0,1.0,10.8352833,106.67406562042235
45,12.8,100.0,5.0,5.179783276746407,5.412328946561477,1.0,0.0,10.7763897,106.7011391
46,10.95,90.0,4.0,5.0,4.0,1.0,1.0,10.7733621,106.7597722
47,11.3,93.0,5.0,5.0,5.0,1.0,1.0,10.8352833,106.67406562042235
48,3.7,33.0,3.0,4.0,2.0,0.0,0.0,10.8352833,106.67406562042235
50,6.2,38.0,3.0,3.0,3.0,0.0,0.0,10.8010732,106.6798916250364
51,5.5,51.0,4.0,3.0,3.0,0.0,1.0,10.79159445,106.6278536218016
53,3.2,44.04200901637541,2.0,2.195035394453573,2.5305233531014233,0.0,1.0,10.8352833,106.67406562042235
54,6.2,62.0,5.0,5.0,3.0,1.0,0.0,10.8121855,106.70404172557386
55,4.99,70.0,5.0,3.2613598202225766,3.0,0.0,0.0,10.7705525,106.5995228258806
56,9.5,88.0,3.0,4.0,4.0,0.0,0.0,10.8352833,106.67406562042235
57,4.1,74.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
58,8.5,175.0,3.8946270461865433,2.0,2.0,1.0,1.0,10.74586825,106.63910717557408
59,4.0,54.0,3.0,2.0,2.0,0.0,1.0,10.75575695,106.6674745944056
60,4.49,41.0,3.0,2.0,2.0,0.0,1.0,10.8352833,106.67406562042235
62,9.99,75.0,6.0,6.0,6.0,1.0,1.0,10.8121855,106.70404172557386
63,1.95,48.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
64,8.0,85.0,4.0,5.0,6.0,0.0,0.0,10.8352833,106.67406562042235
66,6.7,52.0,2.456609394116078,2.42502213970858,2.0,0.0,1.0,10.8121855,106.70404172557386
67,1.75,42.0,2.0,2.0,2.0,0.0,1.0,10.8352833,106.67406562042235
68,0.65,84.0,2.0,2.7526233143904006,1.0,0.0,1.0,10.8352833,106.67406562042235
69,0.43,20.0,2.54378109091045,2.387052979324643,1.0,1.0,0.0,10.86141075,106.66420925636412
70,5.3,28.0,3.0,3.0,3.0,0.0,1.0,10.7726536,106.66821544343898
71,7.2,96.0,4.063154176353249,4.0,5.0,0.0,0.0,10.7705525,106.5995228258806
72,5.8,61.0,4.0,2.0,3.0,1.0,1.0,10.8030656,106.65227606400094
73,7.2,75.0,2.0,4.0,4.0,0.0,0.0,10.8352833,106.67406562042235
