,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
0,4.0,60.0,2.3093706473500575,2.0,1.9960402783917965,0.0,1.0,10.8298295,106.7617899
1,6.3,64.0,4.0,3.0,3.0,0.0,1.0,10.8352833,106.67406562042235
2,6.7,56.0,3.0,7.0,5.125730664275439,0.0,0.0,10.7220335,106.62949387003158
3,8.5,107.0,4.0,4.236377370560934,3.9932079148399975,1.0,1.0,10.8311346,106.7715507
4,4.18,35.0,3.0,2.0,2.0,0.0,1.0,10.8352833,106.67406562042235
5,8.55,76.82745163692707,4.0,3.960657948606591,3.848497265071636,1.0,1.0,10.7726536,106.66821544343898
6,5.1,100.0,6.0,5.055151321647874,4.974169132619888,0.0,1.0,10.7705525,106.5995228258806
7,5.3,57.0,2.4154218975185344,2.0,2.0,0.0,1.0,10.8030656,106.65227606400094
8,7.9,60.0,3.0,5.0,3.0,0.0,1.0,10.8352833,106.67406562042235
9,6.1,93.0,4.0,4.007275650688301,3.791596818406031,0.0,1.0,10.8298295,106.7617899
10,4.7,40.0,4.0,4.0,3.0,1.0,1.0,10.79159445,106.6278536218016
11,8.0,43.0,6.0,4.0,3.0,1.0,0.0,10.8121855,106.70404172557386
12,1.65,48.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
13,5.8,36.0,4.0,3.4638862651094025,3.4801909105586333,0.0,1.0,10.8030656,106.65227606400094
14,8.8,7.0,4.0,4.0,3.8873942931751344,1.0,1.0,10.8298295,106.7617899
15,3.2,24.0,5.0,2.0,3.0,0.0,1.0,10.8030656,106.65227606400094
16,4.5,85.0,3.0,3.286205378568334,2.8665102628992862,1.0,1.0,10.8298295,106.7617899
17,4.0,34.0,3.3835508213893064,5.0,3.0,0.0,0.0,10.77875265,106.6870307478091
20,1.75,48.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
21,4.3,85.0,3.0,3.0,2.0,1.0,1.0,10.7377548,106.72971280655216
22,3.15,34.0,2.8061662491732235,2.8065863520617746,2.6079075297702845,0.0,0.0,10.7705525,106.5995228258806
23,4.5,49.0,3.0,3.0,2.0,0.0,1.0,10.8352833,106.67406562042235
24,4.7,12.0,4.428718288649849,5.0,4.0,1.0,1.0,10.86141075,106.66420925636412
25,5.9,43.0,3.0,4.0,3.4170894400875547,0.0,1.0,10.8010732,106.6798916250364
26,5.6,48.0,5.0,4.091662658366191,4.1564241884377005,0.0,1.0,10.7377548,106.72971280655216
27,2.7,30.0,2.55191881601381,2.0,2.0,0.0,1.0,10.86141075,106.66420925636412
28,5.8,54.0,5.0,4.0,4.114958559113413,0.0,1.0,10.8352833,106.67406562042235
29,3.65,45.0,1.8724424795200854,2.0,1.0,0.0,1.0,10.7607295,106.70710890359896
30,3.95,31.0,5.0,2.0,2.0,1.0,1.0,10.8352833,106.67406562042235
31,4.8,30.0,3.303289807071293,2.9973837262740872,2.924290738083789,0.0,1.0,10.7763897,106.7011391
32,3.5,52.0,2.3814021703712918,2.0,2.0,0.0,1.0,10.79159445,106.6278536218016
33,4.8,87.0,3.0,3.0,3.0,0.0,1.0,10.7705525,106.5995228258806
34,4.15,56.0,2.0,2.0,2.0,0.0,1.0,10.8298295,106.7617899
35,4.2,51.0,1.0,2.068847329814093,1.6547150590672448,0.0,0.0,10.7705525,106.5995228258806
36,4.45,44.0,3.0,2.0,2.0,0.0,0.0,10.8352833,106.67406562042235
38,9.0,50.0,6.0,6.0,5.0,0.0,1.0,10.7726536,106.66821544343898
39,4.5,34.0,2.0,2.0,3.0,0.0,0.0,10.7705525,106.5995228258806
40,4.7,30.0,2.6653023887071825,2.0,2.0,1.0,1.0,10.8010732,106.6798916250364
41,9.6,75.0,4.0,3.0,3.504049444395722,0.0,1.0,10.7377548,106.72971280655216
42,7.5,60.0,3.0,3.0,3.0765593935068765,0.0,0.0,10.79159445,106.6278536218016
43,2.15,48.0,2.0,2.0,2.0,1.0,1.0,10.7705525,106.5995228258806
44,8.8,47.0,5.0,4.0,6.0,0.0,1.0,10.8352833,106.67406562042235
45,12.8,100.0,5.0,5.060996646157618,5.1494778130717,1.0,0.0,10.7763897,106.7011391
46,10.95,90.0,4.0,5.0,4.0,1.0,1.0,10.7733621,106.7597722
47,11.3,93.0,5.0,5.0,5.0,1.0,1.0,10.8352833,106.67406562042235
48,3.7,33.0,3.0,4.0,2.0,0.0,0.0,10.8352833,106.67406562042235
50,6.2,38.0,3.0,3.0,3.0,0.0,0.0,10.8010732,106.6798916250364
51,5.5,51.0,4.0,3.0,3.0,0.0,1.0,10.79159445,106.6278536218016
53,3.2,56.480793439264716,2.0,2.4607535951820747,2.0692199947008207,0.0,1.0,10.8352833,106.67406562042235
54,6.2,62.0,5.0,5.0,3.0,1.0,0.0,10.8121855,106.70404172557386
55,4.99,70.0,5.0,3.518597965546134,3.0,0.0,0.0,10.7705525,106.5995228258806
56,9.5,88.0,3.0,4.0,4.0,0.0,0.0,10.8352833,106.67406562042235
57,4.1,74.0,2.0,2.0,2.0,0.0,1.0,10.7220335,106.62949387003158
