Price,Area,Floor,Bedroom,Restroom,Address,Roadfrontage,Legal
4.0,60.0,,2.0,,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
6.3,64.0,4.0,3.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
6.7,56.0,3.0,7.0,,"Quận 8, Thành phố Hồ Chí Minh",False,
8.5,107.0,4.0,,,"Quận 9, Thành phố Hồ Chí Minh",True,Good
4.18,35.0,3.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
8.55,,4.0,,,"Quận 10, Thành phố Hồ Chí Minh",True,Good
5.1,100.0,6.0,,,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
5.3,57.0,,2.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
7.9,60.0,3.0,5.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
6.1,93.0,4.0,,,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
4.7,40.0,4.0,4.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
8.2,36.0,6.0,3.0,5.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,Good
8.0,43.0,6.0,4.0,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",True,
1.65,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",False,Good
5.8,36.0,4.0,,,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
8.8,7.0,4.0,4.0,,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
3.2,24.0,5.0,2.0,3.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
4.5,85.0,3.0,,,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
4.0,34.0,,5.0,3.0,"Quận 3, Thành phố Hồ Chí Minh",False,
4.9,60.0,4.0,8.0,3.0,"Quận 12, Thành phố Hồ Chí Minh",True,Good
16.3,130.0,5.0,7.0,8.0,"Thủ Đức, Thành phố Hồ Chí Minh",True,Good
1.75,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",False,Good
4.3,85.0,3.0,3.0,2.0,"Quận 7, Thành phố Hồ Chí Minh",True,Good
3.15,34.0,,,,"Bình Tân, Thành phố Hồ Chí Minh",False,
4.5,49.0,3.0,3.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
4.7,12.0,,5.0,4.0,"Quận 12, Thành phố Hồ Chí Minh",True,Good
5.9,43.0,3.0,4.0,,"Phú Nhuận, Thành phố Hồ Chí Minh",False,Good
5.6,48.0,5.0,,,"Quận 7, Thành phố Hồ Chí Minh",False,Good
2.7,30.0,,2.0,2.0,"Quận 12, Thành phố Hồ Chí Minh",False,Good
5.8,54.0,5.0,4.0,,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
3.65,45.0,,2.0,1.0,"Quận 4, Thành phố Hồ Chí Minh",False,Good
3.95,31.0,5.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
4.8,30.0,,,,Thành phố Hồ Chí Minh,False,Good
3.5,52.0,,2.0,2.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
4.8,87.0,3.0,3.0,3.0,"Bình Tân, Thành phố Hồ Chí Minh",False,Good
4.15,56.0,2.0,2.0,2.0,"Thủ Đức, Thành phố Hồ Chí Minh",False,Good
4.2,51.0,1.0,,,"Bình Tân, Thành phố Hồ Chí Minh",False,
4.45,44.0,3.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
28.0,67.0,3.0,5.0,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",False,
9.0,50.0,6.0,6.0,5.0,"Quận 10, Thành phố Hồ Chí Minh",False,Good
4.5,34.0,2.0,2.0,3.0,"Bình Tân, Thành phố Hồ Chí Minh",False,
4.7,30.0,,2.0,2.0,"Phú Nhuận, Thành phố Hồ Chí Minh",True,Good
9.6,75.0,4.0,3.0,,"Quận 7, Thành phố Hồ Chí Minh",False,Good
7.5,60.0,3.0,3.0,,"Tân Phú, Thành phố Hồ Chí Minh",False,
2.15,48.0,2.0,2.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",True,Good
8.8,47.0,5.0,4.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
12.8,100.0,5.0,,,Thành phố Hồ Chí Minh,True,
10.95,90.0,4.0,5.0,4.0,"Quận 2, Thành phố Hồ Chí Minh",True,Good
11.3,93.0,5.0,5.0,5.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,Good
3.7,33.0,3.0,4.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
17.0,128.0,7.0,6.0,8.0,"Bình Chánh, Thành phố Hồ Chí Minh",True,Good
6.2,38.0,3.0,3.0,3.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
5.5,51.0,4.0,3.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
23.0,200.0,3.0,4.0,4.0,"Quận 9, Thành phố Hồ Chí Minh",True,
3.2,,2.0,,,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
6.2,62.0,5.0,5.0,3.0,"Bình Thạnh, Thành phố Hồ Chí Minh",True,
4.99,70.0,5.0,,3.0,"Bình Tân, Thành phố Hồ Chí Minh",False,
4.7,40.0,4.0,4.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
9.5,88.0,3.0,4.0,4.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
4.1,74.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",False,Good
